Angle [Radians],f(x)
0,0
0.01,0.159611098
0.02,0.318409739
0.03,0.47558897
0.04,0.630352808
0.05,0.78192162
0.06,0.929537384
0.07,1.072468783
0.08,1.210016108
0.09,1.341515918
0.1,1.466345428
0.11,1.583926602
0.12,1.693729903
0.13,1.795277688
0.14,1.888147217
0.15,1.971973249
0.16,2.046450217
0.17,2.111333963
0.18,2.16644301
0.19,2.211659386
0.2,2.246928969
0.21,2.27226137
0.22,2.287729355
0.23,2.293467795
0.24,2.289672181
0.25,2.276596692
0.26,2.254551845
0.27,2.223901749
0.28,2.18506097
0.29,2.138491059
0.3,2.084696738
0.31,2.024221806
0.32,1.957644775
0.33,1.885574284
0.34,1.808644323
0.35,1.727509296
0.36,1.642838987
0.37,1.555313435
0.38,1.465617784
0.39,1.374437138
0.4,1.282451458
0.41,1.190330549
0.42,1.098729169
0.43,1.008282298
0.44,0.919600604
0.45,0.833266145
0.46,0.749828328
0.47,0.669800171
0.48,0.593654877
0.49,0.521822761
0.5,0.454688547
0.51,0.392589047
0.52,0.335811252
0.53,0.284590831
0.54,0.239111063
0.55,0.199502197
0.56,0.165841249
0.57,0.138152227
0.58,0.116406792
0.59,0.100525329
0.6,0.090378438
0.61,0.085788807
0.62,0.086533475
0.63,0.092346437
0.64,0.102921588
0.65,0.117915975
0.66,0.136953318
0.67,0.159627785
0.68,0.185507975
0.69,0.214141086
0.7,0.245057221
0.71,0.277773807
0.72,0.311800079
0.73,0.346641601
0.74,0.381804777
0.75,0.41680132
0.76,0.451152642
0.77,0.484394125
0.78,0.516079239
0.79,0.545783477
0.8,0.573108067
0.81,0.597683435
0.82,0.619172394
0.83,0.63727303
0.84,0.651721253
0.85,0.662293011
0.86,0.668806136
0.87,0.671121806
0.88,0.669145626
0.89,0.662828301
0.9,0.652165914
0.91,0.637199792
0.92,0.61801598
0.93,0.594744308
0.94,0.567557074
0.95,0.53666736
0.96,0.50232697
0.97,0.464824042
0.98,0.424480331
0.99,0.381648196
1,0.336707316
1.01,0.29006116
1.02,0.242133256
1.03,0.193363261
1.04,0.144202908
1.05,0.095111818
1.06,0.046553257
1.07,-0.001010156
1.08,-0.047120743
1.09,-0.091330023
1.1,-0.133202893
1.11,-0.172321711
1.12,-0.208290225
1.13,-0.240737329
1.14,-0.269320616
1.15,-0.293729678
1.16,-0.313689147
1.17,-0.328961435
1.18,-0.339349158
1.19,-0.34469721
1.2,-0.34489449
1.21,-0.33987524
1.22,-0.329620003
1.23,-0.314156181
1.24,-0.293558186
1.25,-0.267947186
1.26,-0.237490453
1.27,-0.202400293
1.28,-0.162932597
1.29,-0.119385
1.3,-0.072094673
